Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,Normal value,Units,,8.4
2024,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,Normal value,Units,,1.5
2024,Proportion of children moderately or severely wasted [2.2.2],,,Rural,Percent,Normal value,Units,,1.8
2024,Proportion of children moderately or severely wasted [2.2.2],,,Urban,Percent,Normal value,Units,,1.0
2024,Proportion of children moderately or severely wasted [2.2.2],,Female,,Percent,Normal value,Units,,1.4
2024,Proportion of children moderately or severely wasted [2.2.2],,Male,,Percent,Normal value,Units,,1.7
2024,Proportion of children moderately or severely wasted [2.2.2],Bulawayo,,,Percent,Normal value,Units,ZW_BA,2.3
2024,Proportion of children moderately or severely wasted [2.2.2],Harare,,,Percent,Normal value,Units,ZW_HA,0.0
2024,Proportion of children moderately or severely wasted [2.2.2],Manicaland,,,Percent,Normal value,Units,ZW_MA,0.8
2024,Proportion of children moderately or severely wasted [2.2.2],Mashonaland Central,,,Percent,Normal value,Units,ZW_MC,0.4
2024,Proportion of children moderately or severely wasted [2.2.2],Masholanad East,,,Percent,Normal value,Units,ZW_ME,1.4
2024,Proportion of children moderately or severely wasted [2.2.2],Midlands,,,Percent,Normal value,Units,ZW_MI,2.0
2024,Proportion of children moderately or severely wasted [2.2.2],Matabeland North,,,Percent,Normal value,Units,ZW_MN,2.8
2024,Proportion of children moderately or severely wasted [2.2.2],Matabeland South,,,Percent,Normal value,Units,ZW_MS,0.9
2024,Proportion of children moderately or severely wasted [2.2.2],Masvingo,,,Percent,Normal value,Units,ZW_MV,3.0
2024,Proportion of children moderately or severely wasted [2.2.2],Mashonaland West,,,Percent,Normal value,Units,ZW_MW,2.5
