Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,10 to 14 years old,,"Per 1,000 population",Normal value,Units,,2.0
2024,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,10 to 14 years old,Rural,"Per 1,000 population",Normal value,Units,,2.0
2024,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,10 to 14 years old,Urban,"Per 1,000 population",Normal value,Units,,1.0
2015,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,,"Per 1,000 population",Normal value,Units,,110.0
2017,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,,"Per 1,000 population",Normal value,Units,,77.6
2019,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,,"Per 1,000 population",Normal value,Units,,108.0
2022,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,,"Per 1,000 population",Normal value,Units,,86.7
2024,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,,"Per 1,000 population",Normal value,Units,,111.0
2024,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,Rural,"Per 1,000 population",Normal value,Units,,147.0
2024,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,Urban,"Per 1,000 population",Normal value,Units,,69.0
