Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],,Urban,Percent,Normal value,Units,,24.7
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Bulawayo,Urban,Percent,Normal value,Units,ZW_BA,18.2
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Harare,Urban,Percent,Normal value,Units,ZW_HA,58.6
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Manicaland,Urban,Percent,Normal value,Units,ZW_MA,32.9
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Mashonaland Central,Urban,Percent,Normal value,Units,ZW_MC,12.3
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Masholanad East,Urban,Percent,Normal value,Units,ZW_ME,24.0
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Midlands,Urban,Percent,Normal value,Units,ZW_MI,14.5
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Matabeland North,Urban,Percent,Normal value,Units,ZW_MN,17.4
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Matabeland South,Urban,Percent,Normal value,Units,ZW_MS,17.4
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Masvingo,Urban,Percent,Normal value,Units,ZW_MV,17.3
2024,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Mashonaland West,Urban,Percent,Normal value,Units,ZW_MW,14.2
