Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2011,Proportion of population below international poverty line [1.1.1],,,,,Percent,Normal value,Units,,21.6
2017,Proportion of population below international poverty line [1.1.1],,,,,Percent,Normal value,Units,,34.2
2019,Proportion of population below international poverty line [1.1.1],,,,,Percent,Normal value,Units,,39.8
2017,Proportion of population below international poverty line [1.1.1],,,,Rural,Percent,Normal value,Units,,47.92728
2019,Proportion of population below international poverty line [1.1.1],,,,Rural,Percent,Normal value,Units,,52.61328
2017,Proportion of population below international poverty line [1.1.1],,,,Urban,Percent,Normal value,Units,,4.78471
2019,Proportion of population below international poverty line [1.1.1],,,,Urban,Percent,Normal value,Units,,10.98269
2017,Proportion of population below international poverty line [1.1.1],,,65 years old and over,,Percent,Normal value,Units,,29.6625
2019,Proportion of population below international poverty line [1.1.1],,,65 years old and over,,Percent,Normal value,Units,,33.05316
2017,Proportion of population below international poverty line [1.1.1],,,Under 16 years old,,Percent,Normal value,Units,,41.19563
2019,Proportion of population below international poverty line [1.1.1],,,Under 16 years old,,Percent,Normal value,Units,,47.24313
2017,Proportion of population below international poverty line [1.1.1],,,15 to 64 years old,,Percent,Normal value,Units,,29.73578
2019,Proportion of population below international poverty line [1.1.1],,,15 to 64 years old,,Percent,Normal value,Units,,34.9821
2017,Proportion of population below international poverty line [1.1.1],,Female,,,Percent,Normal value,Units,,34.27809
2019,Proportion of population below international poverty line [1.1.1],,Female,,,Percent,Normal value,Units,,39.44854
2017,Proportion of population below international poverty line [1.1.1],,Male,,,Percent,Normal value,Units,,34.54693
2019,Proportion of population below international poverty line [1.1.1],,Male,,,Percent,Normal value,Units,,40.08752
2011,Employed population below international poverty line [1.1.1],,,15 years old and over,,Percent,Normal value,Units,,19.23
2017,Employed population below international poverty line [1.1.1],,,15 years old and over,,Percent,Normal value,Units,,30.53
2019,Employed population below international poverty line [1.1.1],,,15 years old and over,,Percent,Normal value,Units,,35.63
2011,Employed population below international poverty line [1.1.1],,,25 years old and over,,Percent,Normal value,Units,,16.83
2017,Employed population below international poverty line [1.1.1],,,25 years old and over,,Percent,Normal value,Units,,27.88
2019,Employed population below international poverty line [1.1.1],,,25 years old and over,,Percent,Normal value,Units,,33.2
2011,Employed population below international poverty line [1.1.1],,,15 to 24 years old,,Percent,Normal value,Units,,25.93
2017,Employed population below international poverty line [1.1.1],,,15 to 24 years old,,Percent,Normal value,Units,,38.48
2019,Employed population below international poverty line [1.1.1],,,15 to 24 years old,,Percent,Normal value,Units,,43.05
2011,Employed population below international poverty line [1.1.1],,Female,15 years old and over,,Percent,Normal value,Units,,20.04
2017,Employed population below international poverty line [1.1.1],,Female,15 years old and over,,Percent,Normal value,Units,,32.79
2019,Employed population below international poverty line [1.1.1],,Female,15 years old and over,,Percent,Normal value,Units,,38.53
2011,Employed population below international poverty line [1.1.1],,Female,25 years old and over,,Percent,Normal value,Units,,19.12
2017,Employed population below international poverty line [1.1.1],,Female,25 years old and over,,Percent,Normal value,Units,,31.97
2019,Employed population below international poverty line [1.1.1],,Female,25 years old and over,,Percent,Normal value,Units,,37.92
2011,Employed population below international poverty line [1.1.1],,Female,15 to 24 years old,,Percent,Normal value,Units,,22.99
2017,Employed population below international poverty line [1.1.1],,Female,15 to 24 years old,,Percent,Normal value,Units,,35.68
2019,Employed population below international poverty line [1.1.1],,Female,15 to 24 years old,,Percent,Normal value,Units,,40.73
2011,Employed population below international poverty line [1.1.1],,Male,15 years old and over,,Percent,Normal value,Units,,18.42
2017,Employed population below international poverty line [1.1.1],,Male,15 years old and over,,Percent,Normal value,Units,,28.23
2019,Employed population below international poverty line [1.1.1],,Male,15 years old and over,,Percent,Normal value,Units,,32.65
2011,Employed population below international poverty line [1.1.1],,Male,25 years old and over,,Percent,Normal value,Units,,14.37
2017,Employed population below international poverty line [1.1.1],,Male,25 years old and over,,Percent,Normal value,Units,,23.38
2019,Employed population below international poverty line [1.1.1],,Male,25 years old and over,,Percent,Normal value,Units,,27.92
2011,Employed population below international poverty line [1.1.1],,Male,15 to 24 years old,,Percent,Normal value,Units,,28.31
2017,Employed population below international poverty line [1.1.1],,Male,15 to 24 years old,,Percent,Normal value,Units,,40.72
2019,Employed population below international poverty line [1.1.1],,Male,15 to 24 years old,,Percent,Normal value,Units,,44.89
