Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,,8.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,,1.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,Rural,Percent,,1.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,Urban,Percent,,1.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,Female,,Percent,,1.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,Male,,Percent,,1.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Bulawayo,,,Percent,ZW_BA,2.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Harare,,,Percent,ZW_HA,0.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Manicaland,,,Percent,ZW_MA,0.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Mashonaland Central,,,Percent,ZW_MC,0.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Masholanad East,,,Percent,ZW_ME,1.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Midlands,,,Percent,ZW_MI,2.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Matabeland North,,,Percent,ZW_MN,2.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Matabeland South,,,Percent,ZW_MS,0.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Masvingo,,,Percent,ZW_MV,3.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Mashonaland West,,,Percent,ZW_MW,2.5
