Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,,21.6
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,,33.7
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,,61.936167437294046
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,,10.4
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,,7.7
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,,55.65878871101471
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,,2.6
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,,83.2
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,,70.79708533995965
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,,23.0
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bulawayo,,Percent,ZW_BA,85.6
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bulawayo,,Percent,ZW_BA,94.0933010992187
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bulawayo,,Percent,ZW_BA,20.4
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Harare,,Percent,ZW_HA,87.2
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Harare,,Percent,ZW_HA,88.12671475002564
