Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,17.77
2016,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,15.75
2017,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,5.62
2018,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,7.35
2019,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,10.83
2020,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,13.27
2021,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,15.35
2022,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,16.62
2023,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,14.65
2024,Total government revenue as a proportion of GDP [17.1.1],,Percent,Normal value,Units,,18.65
