Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2009,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,10.77925292538384
2010,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,15.599746751843954
2011,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,15.552482356251456
2012,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,14.043402243513045
2013,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,13.68667748115296
2014,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,12.688281778215964
2015,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,12.491328600067485
2016,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,12.46642630785706
2017,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,12.061130060336104
2018,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,14.934874013195795
2019,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,14.222359751223692
2020,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,12.574882894728376
2021,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,11.732142339439504
2022,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,11.203113549009586
2023,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,10.861970847026
2024,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,,15.21
2009,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,87.17364525323653
2010,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,89.88366818709584
2011,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,103.81591238388076
2012,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,180.00809992716108
2013,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,180.44360399085463
2014,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,175.412928208344
2015,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,161.7794289104285
2016,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,162.4265466260702
2017,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,159.58276945699376
2018,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,167.37714744880176
2019,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,2114.9243702633025
2020,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,14852.217562323907
2021,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,26683.13941988497
2022,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,168085.16699636055
2023,Manufacturing value added per capita [9.2.1],,Constant USD,Normal value,Units,,1418809.168446547
