Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,Proportion of population living below the national poverty line [1.2.1],,,,Percent,Normal value,Units,,53.1
2019,Proportion of population living below the national poverty line [1.2.1],,,,Percent,Normal value,Units,,57.0
2017,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,Normal value,Units,,64.7
2019,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,Normal value,Units,,72.0
2017,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,Normal value,Units,,34.3
2019,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,Normal value,Units,,24.0
2017,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,Normal value,Units,,53.0
2017,Proportion of population living below the national poverty line [1.2.1],,Female,Rural,Percent,Normal value,Units,,67.3
2017,Proportion of population living below the national poverty line [1.2.1],,Female,Urban,Percent,Normal value,Units,,28.6
2017,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,Normal value,Units,,53.2
2017,Proportion of population living below the national poverty line [1.2.1],,Male,Rural,Percent,Normal value,Units,,61.6
2017,Proportion of population living below the national poverty line [1.2.1],,Male,Urban,Percent,Normal value,Units,,40.1
2017,Proportion of population living below the national poverty line [1.2.1],Bulawayo,,,Percent,Normal value,Units,ZW_BA,14.9
2017,Proportion of population living below the national poverty line [1.2.1],Harare,,,Percent,Normal value,Units,ZW_HA,20.0
2017,Proportion of population living below the national poverty line [1.2.1],Manicaland,,,Percent,Normal value,Units,ZW_MA,64.5
2017,Proportion of population living below the national poverty line [1.2.1],Mashonaland Central,,,Percent,Normal value,Units,ZW_MC,57.4
2017,Proportion of population living below the national poverty line [1.2.1],Masholanad East,,,Percent,Normal value,Units,ZW_ME,65.5
2017,Proportion of population living below the national poverty line [1.2.1],Midlands,,,Percent,Normal value,Units,ZW_MI,55.3
2017,Proportion of population living below the national poverty line [1.2.1],Matabeland North,,,Percent,Normal value,Units,ZW_MN,74.8
2017,Proportion of population living below the national poverty line [1.2.1],Matabeland South,,,Percent,Normal value,Units,ZW_MS,55.9
2017,Proportion of population living below the national poverty line [1.2.1],Masvingo,,,Percent,Normal value,Units,ZW_MV,56.9
2017,Proportion of population living below the national poverty line [1.2.1],Mashonaland West,,,Percent,Normal value,Units,ZW_MW,62.2
