Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,3.53
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,3.78
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,2.6
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,4.2
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,4.3
2020,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,2.3
2021,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,2.5
2022,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,5.2
2023,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,6.2
2024,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,,1.89
