Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2017,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,,PT,,53.1
2019,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,,PT,,57.0
2017,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,R,PT,,64.7
2019,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,R,PT,,72.0
2017,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,U,PT,,34.3
2019,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,U,PT,,24.0
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,F,,PT,,53.0
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,F,R,PT,,67.3
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,F,U,PT,,28.6
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,M,,PT,,53.2
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,M,R,PT,,61.6
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,M,U,PT,,40.1
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_BA,,,PT,ZW_BA,14.9
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_HA,,,PT,ZW_HA,20.0
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MA,,,PT,ZW_MA,64.5
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MC,,,PT,ZW_MC,57.4
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_ME,,,PT,ZW_ME,65.5
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MI,,,PT,ZW_MI,55.3
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MN,,,PT,ZW_MN,74.8
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MS,,,PT,ZW_MS,55.9
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MV,,,PT,ZW_MV,56.9
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MW,,,PT,ZW_MW,62.2
