Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,53.1
2019,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,57.0
2017,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,64.7
2019,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,72.0
2017,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,34.3
2019,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,24.0
2017,Normal value,Units,ZIMSTAT Poverty Atlas Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,53.0
2017,Normal value,Units,ZIMSTAT Poverty Atlas Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Female,Rural,Percent,,67.3
2017,Normal value,Units,ZIMSTAT Poverty Atlas Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Female,Urban,Percent,,28.6
2017,Normal value,Units,ZIMSTAT Poverty Atlas Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,53.2
2017,Normal value,Units,ZIMSTAT Poverty Atlas Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Male,Rural,Percent,,61.6
2017,Normal value,Units,ZIMSTAT Poverty Atlas Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Male,Urban,Percent,,40.1
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Bulawayo,,,Percent,ZW_BA,14.9
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Harare,,,Percent,ZW_HA,20.0
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Manicaland,,,Percent,ZW_MA,64.5
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Mashonaland Central,,,Percent,ZW_MC,57.4
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Masholanad East,,,Percent,ZW_ME,65.5
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Midlands,,,Percent,ZW_MI,55.3
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Matabeland North,,,Percent,ZW_MN,74.8
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Matabeland South,,,Percent,ZW_MS,55.9
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Masvingo,,,Percent,ZW_MV,56.9
2017,Normal value,Units,ZIMSTAT Poverty Report_2017(LowerLine),Proportion of population living below the national poverty line [1.2.1],Mashonaland West,,,Percent,ZW_MW,62.2
