Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2017,SI_POV_NAHC,,,,PT,A,0,,53.1
2019,SI_POV_NAHC,,,,PT,A,0,,57.0
2017,SI_POV_NAHC,,,R,PT,A,0,,64.7
2019,SI_POV_NAHC,,,R,PT,A,0,,72.0
2017,SI_POV_NAHC,,,U,PT,A,0,,34.3
2019,SI_POV_NAHC,,,U,PT,A,0,,24.0
2017,SI_POV_NAHC,,F,,PT,A,0,,53.0
2017,SI_POV_NAHC,,F,R,PT,A,0,,67.3
2017,SI_POV_NAHC,,F,U,PT,A,0,,28.6
2017,SI_POV_NAHC,,M,,PT,A,0,,53.2
2017,SI_POV_NAHC,,M,R,PT,A,0,,61.6
2017,SI_POV_NAHC,,M,U,PT,A,0,,40.1
2017,SI_POV_NAHC,ZW_BA,,,PT,A,0,ZW_BA,14.9
2017,SI_POV_NAHC,ZW_HA,,,PT,A,0,ZW_HA,20.0
2017,SI_POV_NAHC,ZW_MA,,,PT,A,0,ZW_MA,64.5
2017,SI_POV_NAHC,ZW_MC,,,PT,A,0,ZW_MC,57.4
2017,SI_POV_NAHC,ZW_ME,,,PT,A,0,ZW_ME,65.5
2017,SI_POV_NAHC,ZW_MI,,,PT,A,0,ZW_MI,55.3
2017,SI_POV_NAHC,ZW_MN,,,PT,A,0,ZW_MN,74.8
2017,SI_POV_NAHC,ZW_MS,,,PT,A,0,ZW_MS,55.9
2017,SI_POV_NAHC,ZW_MV,,,PT,A,0,ZW_MV,56.9
2017,SI_POV_NAHC,ZW_MW,,,PT,A,0,ZW_MW,62.2
