Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2024,SP_DYN_ADKL,,F,Y10T14,,PER_1000_POP,A,0,,2.0
2024,SP_DYN_ADKL,,F,Y10T14,R,PER_1000_POP,A,0,,2.0
2024,SP_DYN_ADKL,,F,Y10T14,U,PER_1000_POP,A,0,,1.0
2015,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,A,0,,110.0
2017,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,A,0,,77.6
2019,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,A,0,,108.0
2022,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,A,0,,86.7
2024,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,A,0,,111.0
2024,SP_DYN_ADKL,,F,Y15T19,R,PER_1000_POP,A,0,,147.0
2024,SP_DYN_ADKL,,F,Y15T19,U,PER_1000_POP,A,0,,69.0
