Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2020,A,0,GOZ,IT_USE_II99,,,PT,,29.3
2023,A,0,GOZ,IT_USE_II99,,,PT,,22.0
2014,A,0,ZIMSTAT_specific_survey,IT_USE_II99,,F,PT,,16.4
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_BA,,PT,ZW_BA,60.3
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_HA,,PT,ZW_HA,53.8
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MA,,PT,ZW_MA,17.8
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MC,,PT,ZW_MC,15.6
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_ME,,PT,ZW_ME,21.7
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MI,,PT,ZW_MI,25.0
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MN,,PT,ZW_MN,22.0
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MS,,PT,ZW_MS,34.4
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MV,,PT,ZW_MV,20.0
2020,A,0,ZIMSTAT,IT_USE_II99,ZW_MW,,PT,ZW_MW,22.8
